,Unnamed: 0,Company ID,Companies,Revenue,Business Status,Revenue Growth %,Last Financing Size,Website,LinkedIn URL,Last Financing Valuation,Total Patent Documents,Active Patent Documents,Acquirers,Active Investors,Total Clinical Trials,Year Founded,Business Status Rank,Age,Age Score,Revenue QRank,Revenue Growth % QRank,Last Financing Size QRank,Last Financing Valuation QRank,Total Patent Documents QRank,Active Patent Documents QRank,Total Clinical Trials QRank,Weighted Company Score,Company Score,total_investor_score,avg_investor_score,Final Score,Company Maturity
1397,1403,83436-49,Corbett Life Science,0.0,Generating Revenue,0.0,210.62,www.corbettlifescience.com,Unknown,210.62,15.0,5.0,Qiagen,Unknown,0.0,1988.0,8,37.0,4,0.0,0.0,8.0,8.0,4.0,3.0,0.0,75.5,46.57980456026058,0.0,0.0,23.28990228013029,23.28990228013029
857,857,115073-29,Jupiter eSources,13.1,Profitable,0.0,80.0,Unknown,Unknown,80.0,0.0,0.0,Epiq,Unknown,0.0,2003.0,10,22.0,4,3.0,0.0,6.0,6.0,0.0,0.0,0.0,75.0,46.25407166123778,0.0,0.0,23.12703583061889,23.12703583061889
1058,1059,61644-34,The Bash,3.3,Generating Revenue,-2.86,8.5,www.thebash.com,http://www.linkedin.com/company/the-bash,8.5,0.0,0.0,The Knot Worldwide,Unknown,0.0,1997.0,8,28.0,4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,47.0,28.01302931596091,54.544433258294916,18.181477752764973,23.09725353436294,23.09725353436294
683,683,154756-45,Gilliland Gold Young Consulting,28.0,Generating Revenue,0.0,86.5,www.ggy.com,Unknown,86.5,0.0,0.0,Moody's Investors Service,Unknown,0.0,1989.0,8,36.0,4,5.0,0.0,6.0,6.0,0.0,0.0,0.0,74.0,45.60260586319218,0.0,0.0,22.80130293159609,22.80130293159609
1834,1854,164104-75,Protect Data (Sweden),0.0,Generating Revenue,0.0,626.38,www.protectdata.com,Unknown,626.38,1.0,0.0,Check Point Software Technologies,Unknown,0.0,1988.0,8,37.0,4,0.0,0.0,9.0,9.0,1.0,0.0,0.0,74.0,45.60260586319218,0.0,0.0,22.80130293159609,22.80130293159609
1053,1054,225373-51,BioDiscovery,3.6,Generating Revenue,0.0,74.8,www.biodiscovery.com,Unknown,74.8,24.0,6.0,Bionano Genomics,Unknown,0.0,1997.0,8,28.0,4,2.0,0.0,6.0,6.0,5.0,3.0,0.0,74.0,45.60260586319218,0.0,0.0,22.80130293159609,22.80130293159609
1811,1829,535016-62,Pointer (Software Development Applications),0.0,Out of Business,0.0,0.0,www.pointer.gg,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,0.0,0,2025.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.89779183130621,45.448895915653104,22.724447957826552,22.724447957826552
1015,1016,265981-78,Growlr,5.3,Generating Revenue,0.0,13.8,www.growlrapp.com,Unknown,13.8,0.0,0.0,The Meet Group,Unknown,0.0,2010.0,8,15.0,4,2.0,0.0,3.0,3.0,0.0,0.0,0.0,51.5,30.94462540716612,14.350341561634483,14.350341561634483,22.647483484400304,22.647483484400304
1329,1334,164121-85,BWXT Nuclear Energy Canada,0.0,Generating Revenue,0.0,117.8,www.geh-canada.ca,Unknown,117.8,23.0,17.0,BWX Technologies,Unknown,0.0,1955.0,8,70.0,4,0.0,0.0,7.0,7.0,5.0,5.0,0.0,73.5,45.27687296416938,0.0,0.0,22.63843648208469,22.63843648208469
759,759,124712-83,Startco Engineering,20.01,Profitable,0.0,38.89,www.startco.ca,Unknown,38.89,0.0,0.0,Littelfuse,Unknown,0.0,1975.0,10,50.0,4,4.0,0.0,5.0,5.0,0.0,0.0,0.0,73.5,45.27687296416938,0.0,0.0,22.63843648208469,22.63843648208469
781,781,121819-06,eventIS Group,19.01,Profitable,0.0,46.7,www.eventis.nl,Unknown,46.7,0.0,0.0,SeaChange International,Unknown,0.0,2002.0,10,23.0,4,4.0,0.0,5.0,5.0,0.0,0.0,0.0,73.5,45.27687296416938,0.0,0.0,22.63843648208469,22.63843648208469
1441,1447,65615-68,Dierk (2 Electronic Trading Subsidiaries),0.0,Profitable,0.0,176.0,Unknown,Unknown,345.1,0.0,0.0,FXCM,Dierk,0.0,0.0,10,2025.0,4,0.0,0.0,7.0,8.0,0.0,0.0,0.0,73.0,44.951140065146575,0.0,0.0,22.475570032573287,22.475570032573287
1985,2006,88725-34,Surpass Medical,0.0,Generating Revenue,0.0,133.0,www.surpassmedical.com,Unknown,133.0,16.0,1.0,Stryker,Unknown,1.0,2005.0,8,20.0,4,0.0,0.0,7.0,7.0,4.0,1.0,1.0,73.0,44.951140065146575,0.0,0.0,22.475570032573287,22.475570032573287
1809,1827,685744-57,Planetary Systems AI,0.0,Startup,0.0,0.0,www.planetarysystems.ai,http://www.linkedin.com/company/planetarysystems,0.0,0.0,0.0,Unknown,"SDA TAP LAB, Seraphim Space",0.0,2024.0,3,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,5.537459283387623,78.30836457858068,39.15418228929034,22.345820786338983,22.345820786338983
1475,1481,13188-97,Elan Drug Technologies,0.0,Generating Revenue,0.0,1025.07,Unknown,Unknown,1025.07,0.0,0.0,Alkermes,Unknown,0.0,1993.0,8,32.0,4,0.0,0.0,9.0,9.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
1695,1709,64399-42,Meyer Steel Structures,0.0,Generating Revenue,0.0,595.6,Unknown,Unknown,595.6,0.0,0.0,Trinity Industries,Unknown,0.0,0.0,8,2025.0,4,0.0,0.0,9.0,9.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
409,409,458262-19,Compliant Gaming,100.0,Generating Revenue,0.0,19.0,www.compliantgaming.com,Unknown,19.0,0.0,0.0,Pollard Banknote,Unknown,0.0,2014.0,8,11.0,10,7.0,0.0,3.0,3.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
1641,1653,541040-59,L3 Harris Technologies (Commercial Aviation Solutions),0.0,Generating Revenue,0.0,800.0,Unknown,Unknown,800.0,0.0,0.0,Unknown,TJC (New York),0.0,0.0,8,2025.0,4,0.0,0.0,9.0,9.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
842,842,221797-72,World Programming,14.19,Generating Revenue,8.4,93.64,www.worldprogramming.com,Unknown,93.64,0.0,0.0,Altair Engineering (Business/Productivity Software),Unknown,0.0,2000.0,8,25.0,4,3.0,3.0,6.0,6.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
1998,2020,124824-70,Techni-Core,0.0,Generating Revenue,0.0,383.0,Unknown,Unknown,383.0,0.0,0.0,Woodward,Unknown,0.0,1984.0,8,41.0,4,0.0,0.0,9.0,9.0,0.0,0.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
774,774,107983-99,High Q Technologies,19.88,Profitable,0.0,18.46,www.highqlaser.at,http://www.linkedin.com/company/5243,18.46,14.0,9.0,Newport (Irvine),Unknown,0.0,1999.0,10,26.0,4,4.0,0.0,3.0,3.0,4.0,4.0,0.0,72.5,44.62540716612377,0.0,0.0,22.312703583061886,22.312703583061886
2077,2099,161293-42,Visual Advance Systems Technology,0.0,Generating Revenue,0.0,13.1,www.vastech.com,Unknown,13.1,0.0,0.0,Lawson Software,Unknown,0.0,1996.0,8,29.0,4,0.0,0.0,3.0,3.0,0.0,0.0,0.0,45.5,27.035830618892504,17.4973462900631,17.4973462900631,22.2665884544778,22.2665884544778
829,829,160898-41,Cyberbond,15.0,Profitable,0.0,42.5,www.cyberbond1.com,Unknown,42.5,1.0,0.0,H.B. Fuller,Unknown,0.0,1997.0,10,28.0,4,3.0,0.0,5.0,5.0,1.0,0.0,0.0,72.0,44.299674267100976,0.0,0.0,22.149837133550488,22.149837133550488
1390,1396,65607-31,CONEXIS Benefits Administrators,0.0,Out of Business,0.0,0.0,www.conexis.com,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,1986.0,0,39.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,44.212995661554025,44.212995661554025,22.106497830777013,22.106497830777013
1180,1182,114558-31,StarTrak Logistics Management Solutions,0.01,Generating Revenue,0.0,6.9,www.parlms.com,Unknown,6.9,0.0,0.0,Orbcomm,Unknown,0.0,0.0,8,2025.0,4,1.0,0.0,2.0,2.0,0.0,0.0,0.0,44.0,26.0586319218241,18.126747235748823,18.126747235748823,22.092689578786462,22.092689578786462
753,753,58200-94,icon-scm,20.46,Generating Revenue,11.56,26.6,www.icon-scm.com,Unknown,26.6,2.0,1.0,E2open,Unknown,0.0,1992.0,8,33.0,4,4.0,5.0,4.0,4.0,1.0,1.0,0.0,71.5,43.97394136807817,0.0,0.0,21.986970684039086,21.986970684039086
1732,1746,96463-72,Netintact,0.0,Generating Revenue,0.0,0.0,www.netintact.com,Unknown,0.0,0.0,0.0,Procera Networks,Unknown,0.0,2000.0,8,25.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.24104234527687,25.679558583977496,25.679558583977496,21.96030046462718,21.96030046462718
1696,1710,125398-72,Mica-Tech,0.0,Generating Revenue,0.0,0.0,www.mica-tech.com,Unknown,0.0,0.0,0.0,Aml Communications,Unknown,0.0,2002.0,8,23.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.24104234527687,51.35911716795499,25.679558583977496,21.96030046462718,21.96030046462718
